IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,584344890,9999.995,1099.9994,7104.5986,-7.6634045,-5.5040793,0.5575688,20.423832,0.072994955,51.121563,0.0930227,-0.42652074,-0.26134822,0.528497,-0.022571553,0.04420156,0.23174194,0.33473,0.3539294,0.32825324,0,0.8142733,0,0.81804705,190.37314,191.78342,181.74013,181.75034,0,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.59999996,0,-1.7349652,0,-1.8290173,0,1.9165452,0,2.003623,-0.017036982,-0.007112026,-0.002781786,-0.0051576346,116,4,98,2,10,415.11758,215.68715,-4961.371,55.05045,411513.7,554.38,130.18045,130.9445,124.91789,124.91789,0,1,0,0,0,0,355.84854,0,0,255,0,0,0,5,0,0,0
True,584345000,9999.995,1099.9994,7183.6826,-10.62323,-2.827349,2.4648986,21.680183,0.61763656,50.307125,-0.05007787,-0.4741023,-0.2658239,0.4771362,-0.014089181,0.025441132,0.3474137,0.46063545,0.14162117,0.278745,0.93261147,0.9599658,1.0378739,0.9496165,190.43869,195.49829,182.72575,185.14397,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,-1.8858621,-1.8613636,-1.985719,-1.962115,2.103863,2.094328,2.2405941,2.179832,-0.005889699,0.0050214753,-0.022426948,-0.009738699,116,4,98,2,10,420.10648,215.9172,-4957.382,54.78338,415794.38,552.3837,130.09645,131.2647,125.20443,125.20443,0,1,0,0,0,0,355.9649,0,0,255,0,0,0,5,0,0,0
True,584345093,9999.995,1099.9994,7393.8716,-87.15764,-2.621632,-175.6839,0.92003554,0.48834372,1.8043137,0.3743559,-0.5522806,-0.41115066,0.4172342,-0.013009113,-0.0047883936,0.40530753,0.40027457,0.11061631,0.1345621,0,0,0,0,198.51213,199.66321,188.87575,189.09207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00031047314,-0.0007954985,-0.025295869,-0.023080133,116,4,98,2,10,422.80872,216.07121,-4955.1665,2.0833848,423249.94,547.84564,130.50562,131.4325,125.939384,125.939384,0,1,0,0,0,0,356.06488,0,0,255,0,0,0,5,0,0,0
True,584345218,9999.995,1099.9994,7335.2,-12.930954,-6.6062284,-18.625923,1.0662379,-0.28667724,2.2210822,-0.08183658,-0.64415,0.11670265,0.3474896,0.0082641225,-0.024627553,0.17750946,0.5910635,0.015978944,0.0056546465,45.741535,29.2707,0,0,229.21802,150.36766,192.91013,192.91052,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0,0,-0.3665858,-0.24957429,0,0,45.743004,29.271765,0,0,-0.022263363,0.01759082,-0.03405279,-0.03500811,116,4,98,2,10,423.00055,216.07109,-4954.9966,2.4803734,421975.94,548.71204,132.39,137.9614,125.81655,125.81655,0,1,0,0,0,0,356.18146,0,0,255,0,0,0,5,0,0,0
True,584345312,9999.995,1099.9994,6537.563,-2.7007637,-1.9031229,4.209616,1.1874492,-0.5252119,3.0199313,-0.4324078,-0.68996954,0.3382558,0.27923176,-0.022997526,0.010236215,0.46196923,0.5745627,0.05843368,0.19373648,39.672295,29.540714,34.36667,33.8631,199.74785,156.41737,164.28867,167.01915,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,-0.5377485,-0.37525824,-3.211038,-2.5211782,39.675938,29.543098,34.516354,33.95682,0.0051500127,0.016000643,-0.030124396,-0.017604649,116,4,98,2,10,423.18738,216.02574,-4954.785,3.2872279,385878.34,559.86487,139.79642,144.15332,125.74201,125.74201,0,1,0,0,0,0,356.28152,0,0,255,0,0,0,5,0,0,0
True,584345437,9999.995,1099.9994,4639.513,-1.0997767,4.4567456,12.916564,1.3210442,-0.008336663,4.5783486,-0.06695096,-0.6281897,-0.02610831,0.20266567,-0.056090027,0.021476291,0.31999925,0.4433147,0.8882347,0.76661223,26.257715,21.412666,20.084665,20.156368,138.48828,117.380165,102.94274,106.17744,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,-0.4448261,-0.3411275,-2.1996381,-1.8098304,26.261482,21.415384,20.204756,20.237457,-0.00853163,0.003352277,0.046658184,0.035404302,116,4,98,2,10,423.43478,216.01657,-4954.3843,4.765134,-62803.887,-128.23772,145.90034,149.79813,137.37837,137.37837,-14.7,1,0,0,0,0,356.3983,0,0,255,0,0,0,5,0,0,0
True,584345531,9999.995,1099.9994,3365.4553,-11.856611,1.2930099,-12.837426,-0.17526616,0.13270965,1.9404432,0.13506658,-0.6386416,-0.002669386,0.13380638,-0.044595096,0.021750804,0.1502421,0.33351365,0.7540075,0.6548428,20.631536,8.139696,13.396092,13.474023,105.55169,47.25551,66.76316,70.16172,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,2.9581044,1.886269,-1.8927196,-1.1106071,20.842522,8.355397,13.529141,13.519716,-0.024891116,-0.007229246,0.034237973,0.025062129,116,4,98,2,10,423.4889,216.03993,-4954.164,1.9528568,200035.11,518.7961,149.37067,153.59834,143.96574,143.96574,0,1,0,0,0,0,356.49835,0,0,255,0,0,0,4,0,0,0
True,584345656,9999.995,1099.9994,3597.825,-4.153265,-1.0009212,-1.2063448,-0.33616254,-0.007790178,2.09519,0.09865508,-0.5048561,0.009543678,0.06293026,-0.030157926,0.027536167,0.14692526,0.30042493,0.55499893,0.45241642,10.158189,0.33296627,3.5657046,3.856049,53.951115,10.131508,21.853542,25.594282,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,2.564233,1.8217148,-0.8247572,-0.5454558,10.476836,1.851894,3.659846,3.8944366,-0.02521076,-0.010418005,0.015823446,0.006331347,116,4,98,2,10,423.48117,216.05464,-4953.9233,2.1220007,193687.38,516.3317,153.00862,154.53877,148.43568,148.43568,0,1,0,0,0,0,356.61502,0,0,255,0,0,0,1,0,0,0
True,584345750,9999.995,1099.9994,4022.5105,-2.1202328,-0.76923937,2.4758039,-0.51181626,-0.059807576,2.2821248,0.058820024,-0.41807225,-0.0036973942,0.018110262,-0.021157471,0.02895294,0.1874655,0.32105654,0.48518184,0.4047668,7.6789594,2.9681666,4.4108963,4.7227907,43.744747,23.151485,26.50002,29.889708,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,2.2088661,1.7087338,-0.14936298,-0.10959189,7.9903383,3.4248772,4.4134245,4.724062,-0.0213039,-0.008429736,0.009363174,0.0019222647,116,4,98,2,10,423.4514,216.05486,-4953.698,2.3395782,221348.47,526.7521,155.56125,154.10454,152.11053,152.11053,0,1,0,0,0,0,356.715,0,0,255,0,0,0,1,0,0,0
True,584345875,9999.995,1099.9994,4385.6143,0.3121089,-0.2745126,8.874398,-0.2653653,-0.084872514,3.4578986,0.022582956,-0.37364638,-0.0069228252,-0.027650533,-0.014864237,0.02894282,0.20189925,0.37542805,0.4827879,0.4036339,7.442795,3.0268447,4.3505263,4.7439275,46.06192,26.098795,29.21022,32.81413,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,1.2484127,1.0503105,-0.22780469,-0.1903543,7.546769,3.2038946,4.356487,4.747745,-0.01991292,-0.0031899586,0.009141661,0.001817435,116,4,98,2,10,423.40527,216.04984,-4953.362,3.4691043,245344.7,534.9989,158.25653,156.31424,156.57152,156.57152,0,1,0,0,0,0,356.8318,0,0,255,0,0,0,1,0,0,0
